input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"arguing | O'Keefe's appointment ""is a clear message from the administration: NASA has to clean up its act before we can talk about the neat stuff we'd like to see NASA do, ""says Patricia Dasch of the National Space Society. | has to clean up its act before we can talk about the neat stuff we'd like to see NASA do",medium high
sentiment | The next mission for NASA could be to steer soaring space-station costs back toward earth and restore credibility to what many call a dysfunctional space program. | a dysfunctional space program,medium high
"sentiment | If confirmed by the Senate, O'Keefe jumps with both feet into this fiscal morass. | this fiscal morass",high
"sentiment | ""Today, we have 13 in space and 27 under development."" | Today, we have 13 in space and 27 under development",low
sentiment | The task-force report stirred opposition by Canada and other partners. | opposition by,medium
"intention | Yet the agency's objectives have been growing less visionary since then, says John Pike, director of GlobalSecurity.org in Alexandria, Va.""Webb's mandate was to put a man on the moon. | objectives",low
"arguing | ""O'Keefe is not known as a space enthusiast, ""says Keith Cowing, a former NASA scientist and editor of NASAWatch.com. | is not known as a space enthusiast",low medium
"sentiment | In assessing how the agency might fare under O'Keefe, some analysts say it could blossom, as it did in its Apollo-program heyday under another numbers guy, James Webb. | it could blossom",medium
"sentiment | President Bush has nominated Sean O'Keefe, deputy director of the White House's Office of Management and Budget, to replace him. | has nominated",low
sentiment | NASA hopes the covers will shield the motors against the temperature extremes of space and eliminate power spikes and stalls. | hopes,low medium
"sentiment | Space station commander Frank Culbertson had eagerly awaited the arrival of Endeavour, his ride home. | had eagerly awaited",medium
"sentiment | Although his four-month stay was quiet, the retired Navy fighter pilot said he felt isolated and frustrated after the Sept. 11 terrorist attacks. | felt isolated and frustrated",high
